code,area,density
Aberdeen City,70,1224
Aberdeenshire,439,40
Angus,843,53
Argyll and Bute,2712,13
Clackmannanshire,61,325
Dumfries and Galloway,2489,23
Dundee City,21,2678
East Ayrshire,492,96
East Dunbartonshire,68,597
East Lothian,257,150
East Renfrewshire,65,539
City of Edinburgh,100,1833
Falkirk,113,532
Fife,517,273
Glasgow City,68,3390
Highland,10085,9
Inverclyde,64,488
Midlothian,135,238
Moray,864,42
North Ayrshire,343,156
North Lanarkshire,184,710
Perth and Kinross,2,083,27
Renfrewshire,102,665
Scottish Borders,1825,24
South Ayrshire,475,92
South Lanarkshire,686,176
Stirling,866,40
West Dunbartonshire,68,515
West Lothian,165,410
Na h-Eileanan Siar,1185,8
Orkney Islands,396,21
Shetland Islands,568,15
